index,URL,Title,Author,Year,Topic,Subtopic_1,Subtopic_2,Goal_Primary,Goal_Secondary,User,COVID19,Media Mix,Interactive,Method,Tool,Picture,Link,Picture_name,Context: Online,Context: Offline,Sonification_Art_Blog,Link_to_Sonification_Art_Blog,Link to news,Preview of the sonification on website,Thumbnail Image,Link to explanation,Description
,VoxMagellan,VoxMagellan,"Jeff Cooke, Jeff Hannam (RMIT, Melbourne, Australia), Garry Foran (Swinburne University, Melbourne)",2019,Physical Sciences,Astronomy,Tool,Data Analysis,,,,Yes/GUI,,Parameter Mapping,1,,https://www.youtube.com/watch?v=gQdvv-gCa3Y,VoxMagellan,,,,,,,,,
,TwoTone,TwoTone,Google News Initiative and Datavized Technologies,2019,Tool,,,Research,,General Public,,,,Parameter Mapping,1,n,https://twotone.io/,,,,,,,,,,
,ShiftingAppleBlossominBremen-DataSonificationwithaMusicBox,Shifting Apple Blossom in Bremen - Data Sonification with a Music Box,Katja Striedelmeyer,2019,Climate Change,,,Public Engagement,,,,,,Parameter Mapping,,,https://vimeo.com/326617760,Shifting Apple Blossom in Bremen - Data Sonification with a Music Box,,,,,,,,,
,PianoPiece,Piano Piece,Judy Twet,2019,Climate Change,,,Public Engagement,,Public,,No,No,Parameter Mapping,,,https://www.youtube.com/watch?v=eYXxAE5grRQ,Piano Piece,,Public Venue (live performance),,,,You can listen to the sonification live on TED video,No,,
,Sonificationforcyber-attacksonwaterdistributionsystems,Sonification for cyber-attacks on water distribution systems,"Sara Lenzi, Ginevra Terenghi, Riccardo Taormina, Stefano Galelli, Paolo Ciuccarelli",2019,Cybersecurity,,,Monitoring,,,,,,Parameter Mapping,,,https://ginevraterenghi.github.io/sonifying-cyber-attacks/index.html,Sonification for cyber-attacks on water distribution systems,,,,,,,,,
,Turningtheyieldcurveinto,Turning the yield curve into," Alan Smith, FT",2019,Finance,,,Data Analysis,,,,,,Parameter Mapping,,,https://www.ft.com/content/80269930-40c3-11e9-b896-fe36ec32aece,Turning the yield curve into,,,,,,,,,
,Skincancerdetectionbysonification,Skin cancer detection by sonification,Avi Dascalu and Eli David,2019,Health,,,Data Analysis,,,,,,Parameter Mapping,,n,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(19)30294-4/fulltext,,,,,,,,,,
,TheSilentCriesofChinaDepressedNetizens,The Silent Cries of China Depressed Netizens,Liu Chang,2019,Health,,,Public Engagement,,,,,,Parameter Mapping,,,http://www.sixthtone.com/news/1004543/the-silent-cries-of-chinas-depressed-netizens,The Silent Cries of China Depressed Netizens,,,,,,,,,
,TranslatingProteinsintosoundfordesigningnewproteins,Translating Proteins into sound for designing new proteins,"Markus J. Buehler, MIT",2019,Life Sciences,Biology,,Research,,Domain Experts,,No,No,Parameter Mapping,,,https://soundcloud.com/user-275864738,Translating Proteins into sound for designing new proteins,,Research Lab,,,https://news.mit.edu/2019/translating-proteins-music-0626,Sonification is on Soundcloud,No,,
,SonificationofHubbleTelescope,Sonification of Hubble Telescope,NASA/Hubble/SYSTEM Sounds (Matt Russo/Andrew Santaguida),2019,Physical Sciences,Astronomy,,Public Engagement,,Public,,Yes/video,No,Parameter Mapping,,,https://www.youtube.com/watch?time_continue=32&v=H-Ci_YwfH04&feature=emb_logo,Sonification of Hubble Telescope,Player,,,,https://www.sciencealert.com/nasa-turned-this-hubble-image-into-strange-haunting-music,Sonifcation is a video,https://www.youtube.com/watch?v=H-Ci_YwfH04&feature=emb_logo,,
,SoundsofMars,Sounds of Mars,NASA/JPL-Caltech/CNES/IPGP/Imperial College/Cornell,2019,Physical Sciences,Astronomy,,Public Engagement,,,,,,Audification,,,https://www.youtube.com/watch?v=yT50Q_Zbf3s&t=48s,SoundsofMars,,,,,,,,,
,MoonImpacts,Moon Impacts,SYSTEM Sounds,2019,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/DataViz,,Parameter Mapping,,,https://www.system-sounds.com/moon-impacts/,MoonImpacts,,,,,,,,,
