index,Title,Author,Year,Topic_old,Topic_new,Subtopic #1,Subtopic #2,Goal_old,Goal_new,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Tool,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
,Deep Space Sonata,Silvya Zhu,2012,Astronomy,Physical Sciences,Astronomy,,Inclusivity,Inclusivity,Public,,Player,,Yes/graphics,No,Parameter Mapping,,,,https://www.youtube.com/watch?v=2wvPe9OA1qA&feature=emb_logo,,Sonifcation is a video,https://www.youtube.com/watch?v=2wvPe9OA1qA&feature=emb_logo,,,Deep Space Sonata
,Transit of Venus,Wayne Grim,2012,Astronomy,Physical Sciences,Astronomy,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/L7QFD3,,,,,,Transit of Venus
,Years,BartholomÃ¤us Traubeck,2011,Environment,Physical Sciences,Earth Science,,Art,Art,,,,,,,Audification,,,,https://vimeo.com/30501143,,,,,,Years
,Solar Beat,Luke Twyman (WhiteVinylDesign),2010,Astronomy,Physical Sciences,Astronomy,,Art,Art,,,,,,,Model Sonification,,,1,https://goo.gl/V8WtRc,,,,,,Solar Beat
,Floodtide,John Eacott,2008,Environment,Physical Sciences,Earth Science,,Art,Art,,,,,,,Parameter Mapping,,,1,https://www.thethamesestuarylibrary.org/library/audio/floodtide/,,,,,,Floodtide
,The Satellite Sounders,Yolande Harris,2007,Geolocation,Physical Sciences,Astronomy,,Art,Art,,,,,,,Parameter Mapping,,,1,https://www.yolandeharris.net/work/satellite-sounders,,,,,,The Satellite Sounders
,Atmospherics/Weather Works,Andrea Polli,2007,Meteorology,Physical Sciences,Earth Science,,SCientific Investigation,Research,,,,,,,Parameter Mapping,,n,1,https://goo.gl/EGHSSG,,,,,,Atmospherics-Weather Works
,SeismoDome,Seismic Sound Lab: Ben Holtzman and Jason Candler,2006,Geology,Physical Sciences,Earth Science,,Public Engagement,Public Engagement,,,,,,,Audification,,,1,https://goo.gl/guBXsq,,,,,,SeismoDome
,Volcano Sonification,BBC,2005,Geology,Physical Sciences,Earth Science,,Public Engagement,Public Engagement,Public,,Player,,No,No,Parameter Mapping,,,,https://www.bbc.co.uk/programmes/articles/3clDSXN26N9lQtCwJgMb2tR/sonification,,Sonification can be downloaded from the page,,https://www.bbc.co.uk/programmes/articles/3clDSXN26N9lQtCwJgMb2tR/sonification,,Volcano Sonification
,Etna Sonification Project,Domenico Vicinanza,2005,Geology,Physical Sciences,Earth Science,,Scientific Investigation,Research,,,,,,,Parameter Mapping,,,1,https://goo.gl/mXCW10,,,,,,Etna Sonification Project
,Rock Music,Mara Helmuth,2004,Environment,Physical Sciences,Earth Science,,Art,Art,,,,,,,Parameter Mapping,,,n,https://goo.gl/z5oY7R,https://goo.gl/lXbTtR,,,,,Rock Music
,Kosmophone,Jerry Chamkis,2004,Astronomy,Physical Sciences,Astronomy,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/EUm3ZB,,,,,,Kosmophone
,Earthquake Quartet #1,Andy Michael,1999,Geology,Physical Sciences,Earth Science,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/u0z542,,,,,,Earthquake Quartet
,Earth Magnetic Field: Realizations in Computed Electronic Sound,Charles Dodge,1970,Physics,Physical Sciences,Physics,,Art,Art,,,,,,,Parameter Mapping,,,n,https://www.youtube.com/watch?v=j5MHsnc67yw&t=1s,https://goo.gl/D49r9m,,,,,Earth Magnetic Field - Realizations in Computed Electronic Sound
,Sound of Space,University of Iowa,1962,Astronomy,Physical Sciences,Astronomy,,Scientific Investigation,Research,Domain Experts,,Player,Research Lab,No,No,Audification,,,,http://www-pw.physics.uiowa.edu/space-audio/sounds/,,You can listen to an mp3 of the sonification on the webpage,No,,,Sound of Space
, El NiñOz,Benjamin Renard,2020,,Physical Sciences,,,,Data Analysis,,,,,,,Parameter Mapping,,,,https://globxblog.inrae.fr/el-ninoz/,,,,,,El Niñoz
,Enviro Bike,Bicrophonic Research Institute,2021,,Physical Sciences,Earth Science,,,Public Engagement,,,,,,,Model Sonification,1,,,https://sonicbikes.net/enviro-bike/,,,,,,Enviro Bike
