Title,Author,Year,Topic,Goal,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
Aqualitative,"Jon Bellona, John Park, and John Reagan",2016,Environment,Art,,,,,,,Parameter Mapping,,,https://goo.gl/YhkSeP,,,,,,Aqualitative
Deutsche Bank stock fluctuations made into music,Benedict Eris Carey,2016,Finance,Art,,,,,,,Parameter Mapping,,,https://goo.gl/SFSXrp,,,,,,Deutsche Bank stock fluctuations made into music
"Planetary Bands, Warming World",Daniel Crawford&Scott S. George/University of Minnesota,2015,Climate Change,Public Engagement,Public,,Player,Public Venue (live performance),No,No,Parameter Mapping,,,https://vimeo.com/127083533,,Sonifcation is a video,https://vimeo.com/127083533,https://www.co2.earth/global-warming-music-for-string-quartet,,"Planetary Bands, Warming World"
Seismic Activity in Oklahoma,Reveal News,2015,Geology,Data Journalism,Public,,Player,,No,No,Parameter Mapping,,,https://soundcloud.com/thisisreveal/the-oklahoma-shakes,,Sonification is on Soundcloud,No,https://www.revealnews.org/article/listen-to-the-music-of-seismic-activity-in-oklahoma/,,Seismic Activity in Oklahoma
Two Trains,Brian Foo,2015,Transportation,Art,Public,,Player,,Yes,No,Parameter Mapping,,,https://vimeo.com/118358642,,Sonifcation is a video,https://vimeo.com/118358642,https://datadrivendj.com/tracks/subway/,,Two Trains
Distance from Home,Brian Foo,2015,Migrations,Art,Public,,Player,,Yes,No,Parameter Mapping,,,https://vimeo.com/132833445,,Sonifcation is a video,https://vimeo.com/132833445,https://datadrivendj.com/tracks/refugees/,,Distance from Home
Too Blue,Brian Foo,2015,Environment,Art,,,Player,,Yes,No,Parameter Mapping,,,https://vimeo.com/137262980,,Sonifcation is a video,https://vimeo.com/137262980,https://datadrivendj.com/tracks/louisiana/,,Too Blue
Music Eclipticalis,Brian Foo,2015,Astronomy,Art,,,Player,,Yes,No,Parameter Mapping,,,https://vimeo.com/186860448,,Sonifcation is a video,https://vimeo.com/186860448,https://datadrivendj.com/tracks/stars/,,Music Eclipticalis
Body Language - How pop musicians sing about the body,Brian Foo,2015,Music,Art,,,Player,,Yes,No,Parameter Mapping,,,https://vimeo.com/149371070,,Sonifcation is a video,https://vimeo.com/149371070,https://datadrivendj.com/tracks/body/,,Body Language - How pop musicians sing about the body
Lee and Jackson,Brian Foo,2015,Fine Arts,Art,,,Player,,Yes,No,Parameter Mapping,,,https://vimeo.com/129123456,,Sonifcation is a video,https://vimeo.com/129123456,https://datadrivendj.com/tracks/painters/,,Lee and Jackson
Rhapsody in Grey,Brian Foo,2015,Health,Art,,,Player,,Yes,No,Parameter Mapping,,,https://vimeo.com/121042482,,Sonifcation is a video,https://vimeo.com/121042482,https://datadrivendj.com/tracks/brain/,,Rhapsody in Grey
Mixed Attraction,Brian Foo,2015,Social equality,Art,Public,,Player,,Yes,No,Parameter Mapping,,,https://vimeo.com/126254913,,Sonifcation is a video,https://vimeo.com/126254913,https://datadrivendj.com/tracks/dating/,,Mixed Attraction
The Zones Project - Lost at Sea,Stephen Roddy,2015,Migrations,,,,,,,,Parameter Mapping,n,,,,Cannot listen to the sonification,No,,,The Zones Project - Lost at Sea
NetSon,David Worrall and Fraunhofer Institute,2015,Networks Management,Process Monitoring,,,,,,,Parameter Mapping,,,http://www.avatar.com.au/netson/,,,,,,NetSon
Corpo Real,David Worrall and Udo Rink,2015,Networks Management,Art,,,,,,,Parameter Mapping,,,http://www.avatar.com.au/corpo-real/,,,,,,Corpo Real
Spin Dynamics,Falk Morawitz,2015,Chemistry,Art,,,,,,,Audification,,,https://soundcloud.com/falk-morawitz/spin-dynamics-stereo-reduction,,,,,,Spin Dynamics
Kabbalistic Synthesizer,Sam Conran,2015,Astronomy,Art,,,,,,,Parameter Mapping,,,https://goo.gl/dmT0V5,,,,,,Kabbalistic Synthesizer
Silk,Dmitry Morozov,2015,Finance,Art,,,,,,,Parameter Mapping,,,https://goo.gl/AEp58d,,,,,,Silk
Landwaves,Binaura Collective,2015,Physics,Art,,,,,,,Parameter Mapping,,,https://goo.gl/s99zxY,,,,,,Landwaves
Inventions for Data Stream,Marco Buongiorno Nardell,2015,Chemistry,Art,,,,,,,Parameter Mapping,,,https://goo.gl/d6k1h8,,,,,,Inventions for Data Stream
Color Balance,Brian Foo,2014,Gender equality,Art,Public,,Player,,Yes,No,Parameter Mapping,,,https://datadrivendj.com/interactives/hollywood/,,Sonifcation is a video,https://datadrivendj.com/interactives/hollywood/,,https://datadrivendj.com/tracks/hollywood/,Color Balance
Saydnaya - Inside a Syrian Torture Prison,Forensic Architecture,2014,War,Forensic Investigation,Domain Experts,,Website,,Yes/Graphics,No,Audification,,,https://saydnaya.amnesty.org/?kind=explore,,Sonification is an interactive webpage,https://saydnaya.amnesty.org/?kind=explore,,https://www.youtube.com/watch?v=UZpv6HAOHnE&feature=emb_title,Saydnaya - Inside a Syrian Torture Prison
Egypt Building Collapses,Tactical tech,2014,Urban studies,Public Engagement,Public,,Player,,Yes,No,Parameter Mapping,,,https://egyptbuildingcollapses.org/,,Sonification is an interactive webpage,https://egyptbuildingcollapses.org/,https://alternative-narratives-vis-archive.com/case_studies/egypt-building-collapses,,Egypt Building Collapses
Air Play,Brian Foo,2014,Environment,Art,Public,,Player,,Yes,No,Parameter Mapping,,,https://vimeo.com/122603843,,Sonifcation is a video,https://vimeo.com/122603843,https://datadrivendj.com/tracks/smog/,,Air Play
Overmorrow. Gun violence in US,Rachel Devorah,2014,Mass Shooting,Publi Engagement,Public,,Player,Public Venue (live performance),No,No,Parameter Mapping,,,http://racheldevorah.studio/works/overmorrow/,,Sonifcation is a video on the author's webpage,http://racheldevorah.studio/works/overmorrow/,,,Overmorrow. Gun violence in US
The killing of Nadeem Nawara and Mohammed Abu Daher,Forensic Architecture,2014,War,Forensic Investigation,Domain Experts,,,Research Lab,Yes,No,Audification,,,https://forensic-architecture.org/investigation/the-killing-of-nadeem-nawara-and-mohammed-abu-daher,,Sonifcation is a video on the author's webpage,https://forensic-architecture.org/investigation/the-killing-of-nadeem-nawara-and-mohammed-abu-daher,,,The killing of Nadeem Nawara and Mohammed Abu Daher
Solar Wind Audification,Solar and Heliospheric Research Group at the University of Michigan.,2014,Astronomy,Scientific Investigation,Domain Experts,,Player,Research Lab,Yes/Video,No,Audification,,,https://www.youtube.com/watch?v=OOszY79xSkQ&feature=emb_title,,Sonifcation is a video,https://www.youtube.com/watch?v=OOszY79xSkQ&feature=emb_title,,,Solar Wind Audification
Crater (Cosmic Rays Telescope for the Effects of Radiations),Marty Quinn/University of New Hampshire,2014,Astronomy,Education,Public,,Radio Streaming,,No,No,Parameter Mapping,,,https://prediccs.sr.unh.edu//craterweb/craterliveradio.html,,I tried to listen to it from the website but i couldn't,No,https://www.euronews.com/2014/01/30/rosetta-the-comet-hunter-awakes,,Crater (Cosmic Rays Telescope for the Effects of Radiations)
Powerchord,"Dan Lockton, Flora Bowden, Rama Gheerawo, Clare Brass, Claire Matthews",2014,Energy consumption,Process Monitoring,,,,,,,Parameter Mapping,,,http://danlockton.com/powerchord-experiments-in-energy-sonification/,,,,,,Powerchord
Sound of the Office,Dan Lockton,2014,Energy consumption,Process Monitoring,,,,,,,Parameter Mapping,,,http://architectures.danlockton.co.uk/2014/03/08/work-in-progress-ambient-audible-energy-data/,,,,,,Sound of the Office
Music made with Tennis Data,James Murphy,2014,Sport,Art,,,,,,,Parameter Mapping,,,https://www.rollingstone.com/music/music-news/hear-james-murphys-hypnotic-remix-of-a-tennis-match-195353/,,,,,,Music made with Tennis Data
Nuclear Magnetic Resonance,Falk Morawitz,2014,Chemistry,Art,,,,,,,Audification,,,https://soundcloud.com/falk-morawitz/nuclear-magnetic-resonance-2014-full,,,,,,Nuclear Magnetic Resonance
Currents,Yann Seznec,2014,Metereology,Art,,,,,,,Audification,,,https://www.yannseznec.com/works/currents/,,,,,,Currents
AERO,Gregory Reeves,2014,Transportation,Art,,,,,,,Parameter Mapping,,n,https://goo.gl/kOhgaU,https://sonificationart.wordpress.com/2017/06/06/aero-flight-time-music-generator/,,,,,AERO
LHChamber Music,Domenico Vicinanza,2014,Physics,Art,,,,,,,Parameter Mapping,,,https://goo.gl/HgGMpB,,,,,,LHChamber Music
Phantom Terrains,Frank Swain and Daniel Jones,2014,Networks Management,Public Engagement,,,,,,,Parameter Mapping,,,https://goo.gl/rHrFMv,,,,,,Phantom Terrains
LHC Open Symphony,Domenico Vicinanza,2014,Astronomy,Public Engagement,,,,,,,Parameter Mapping,n,,https://goo.gl/070Ldx,,,,,,LHC Open Symphony
Voyager 1 & 2 spacecraft duet,Domenico Vicinanza- Geant Sounds,2014,Astronomy,Public Engagement,,,,,,,Parameter Mapping,,,https://soundcloud.com/geant-sounds/sonification-of-voyager-1,,,,,,Voyager spacecraft duet
Weather for the blind,Quintronics,2014,Environment,Inclusivity,,,,,,,Parameter Mapping,,,https://goo.gl/HBuKX4,,,,,,Weather for the blind
Artificial Killing Machine,Fletcher Moore,2014,War,Public Engagement,,,,,,,Parameter Mapping,,,https://goo.gl/9kvJbp,,,,,,Artificial Killing Machine
Specimen Box,Office for Creative Reserach and Microsoft,2014,Internet,Public Engagement,,,,,,,Parameter Mapping,,,https://goo.gl/5fGj33,,,,,,Specimen Box
#Carbonfeed,Jon Bellona,2014,Environment,Public Engagement,,,,,,,Parameter Mapping,,,https://goo.gl/thvJZk,,,,,,Carbonfeed
Sorting algorithms,Timo Bingmann,2013,Computer Science,Data Analysis,Domain Experts,,Player,Research Lab,Yes/Video,No,Parameter Mapping,,,https://www.youtube.com/watch?v=kPRA0W1kECg,,Sonifcation is a video,https://www.youtube.com/watch?v=kPRA0W1kECg,,https://panthema.net/2013/sound-of-sorting/,Sorting algorithms
A Song of Our Warming Planet,Daniel Crawford&Scott S. George/University of Minnesota,2013,Climate Change,Public Engagement,Public,,Player,Public Venue (live performance),No,No,Parameter Mapping,,,https://vimeo.com/69122809#at=191,,Sonifcation is a video,https://vimeo.com/69122809#at=191,https://www.co2.earth/global-warming-music-for-string-quartet,,A Song of Our Warming Planet
Listening to data from the Large Hadron Collider,lily Asquith,2013,Particle Physics,Scientific Investigation,Domain Experts,,,Research Lab,Don't know,No,Parameter Mapping,n,,https://www.youtube.com/watch?reload=9&v=iQiPytKHEwY,,You can listen to the sonification live on TED video,No,,,Listening to data from the Large Hadron Collider
TransProse,Hannah Davis,2013,Digital Humanities,Digital Humanities,,,,,,,Parameter Mapping,,,http://www.musicfromtext.com/,,,,,,TransProse
You will have to take my word for it,Brian House,2013,Road Safety,Art,,,,,,,Parameter Mapping,,n,https://brianhouse.net/works/youll_just_have_to_take_my_word_for_it/,https://sonificationart.wordpress.com/2013/11/05/youll-have-to-take-my-word-for-it-car-crash-composition/,,,,,take my word for it
Polarseeds,Polar Seeds Group,2013,Environment,Public Engagement,,,,,,,Parameter Mapping,,,https://goo.gl/UfiwgH,,,,,,Polarseeds
Masachussets Geophonic,Arvid Tomayko,2013,Geology,Public Engagement,,,,,,,Parameter Mapping,,n,https://goo.gl/67yixV,https://goo.gl/XGkIiF,,,,,Masachussets Geophonic
FMS Symphony,CSV Soundsystem,2013,Finance,Art,,,,,,,Parameter Mapping,,n,https://goo.gl/UP2JjM,https://sonificationart.wordpress.com/2017/06/03/fms-symphony/,,,,,FMS Symphony
Maestro Frankenstein 2.0,Arvid Tomayko,2013,Geology,Public Engagement,,,,,,,Parameter Mapping,n,,https://goo.gl/YjQ7iw,,,,,,Maestro Frankenstein
The sound of Twitter,Jeff Hemsley,2013,Social Media,Data Analysis,,,,,,,Parameter Mapping,n,,https://goo.gl/c63zeq,,,,,,The sound of Twitter
Digiti Sonus,Yoon Chung Han,2013,Human body,Art,,,,,,,Parameter Mapping,,,https://goo.gl/n8dtvz,,,,,,Digiti Sonus
Project: Autobahn,Tom Zimmerman,2013,Transportation,Art,,,,,,,Parameter Mapping,,,https://goo.gl/zHW6qb,,,,,,Autobahn
Music of the Atmosphere/ Space Fight,Radek Rudnicki and Kevin Hicks - Swedish Environment Institute,2013,Environment,Public Engagement,,,,,,,Parameter Mapping,,,https://goo.gl/DIJJRN,,,,,,Music of the Atmosphere Space Fight
Star's Song,Harvard Smithsonian/Wanda Diaz Merced,2012,Astronomy,Scientific Investigation,Domain Experts,,Player,Research Lab; Public Venue (Live Performance),No,No,Parameter Mapping,,,https://www.cfa.harvard.edu/sed/projects/star_songs/pages/xraytosound.html,,Webpage seems to be broken!,No,https://music.si.edu/story/music-spheres-star-songs,,Star's Song
Listen to Wikipedia,Hatnote,2012,Digital Media,Public Engagement,Public,,Website,,Yes/Visuals,Yes,Model Sonification,,,http://listen.hatnote.com/,,Sonification is an interactive webpage,http://listen.hatnote.com/,,,Listen to Wikipedia
Higgs Boson Sonification,CERN,2012,Particle Physics,Public Engagement,Public,,Player,,No,No,Parameter Mapping,,,https://www.youtube.com/watch?v=dX3Q7FKNUnc,,Sonifcation is a video,https://www.youtube.com/watch?v=dX3Q7FKNUnc,https://www.bbc.com/news/av/science-environment-18785232,https://videos.cern.ch/record/2142696,Higgs Boson Sonification
Deep Space Sonata,Silvya Zhu,2012,Astronomy,Inclusivity,Public,,Player,,Yes/graphics,No,Parameter Mapping,,,https://www.youtube.com/watch?v=2wvPe9OA1qA&feature=emb_logo,,Sonifcation is a video,https://www.youtube.com/watch?v=2wvPe9OA1qA&feature=emb_logo,,,Deep Space Sonata
Stanley cup,Bard Edlund,2012,Sport,Public Engagement,,,,,,,Parameter Mapping,,n,https://goo.gl/DOiQ5W,https://goo.gl/P0zVWq,,,,,Stanley cup
The Last Gun,Constantine Zlatev,2012,War,Art,,,,,,,Parameter Mapping,,n,https://goo.gl/9t5xPP,https://goo.gl/YqpFFC,,,,,The Last Gun
Tweetscapes,"HEAVYLISTENING, German National Radio, CITEC Bielefeld, and Sound Studies at University of the Arts Berlin",2012,Social Media,Art,,,,,,,Parameter Mapping,,n,https://www.youtube.com/watch?v=0lKSFlB_-Q0,https://sonificationart.wordpress.com/2013/11/03/tweetscapes-sonifying-germanys-twitterscape/,,,,,Tweetscapes
The Listening Machine,Daniel Jones & Peter Gregson,2012,Social Media,Art,,,,,,,Parameter Mapping,,n,https://soundcloud.com/ideoforms/the-listening-machine-excerpts,https://sonificationart.wordpress.com/2017/06/04/the-listening-machine/,,,,,The Listening Machine
Quotidian Record,Brian House,2012,Geolocation,Art,,,,,,,Parameter Mapping,,n,https://goo.gl/m0vA1j,https://sonificationart.wordpress.com/2017/06/05/quotidian-record-sonifying-everyday-life/,,,,,Quotidian Record
WikiIRC ou la sonification de Wikipedia,"Baudu, Templier & Bloques",2012,Digital Media,Art,,,,,,,Parameter Mapping,,,https://goo.gl/5qZZq0,,,,,,WikiIRC ou la sonification de Wikipedia
Transit of Venus,Wayne Grim,2012,Astronomy,Art,,,,,,,Parameter Mapping,,,https://goo.gl/L7QFD3,,,,,,Transit of Venus
The Sound Of People,David Runge,2012,Biology,Art,,,,,,,Parameter Mapping,n,,https://goo.gl/Ec7nSF,,,,,,The Sound Of People
An Instrument for the Sonification of Everday Things,Denis P Paul,2012,Design,Art,,,,,,,Parameter Mapping,,,https://goo.gl/LhZuvW,,,,,,An Instrument for the Sonification of Everday Things
The Pirate Cinema,Nicolas Maigret,2012,Internet,Art,,,,,,,Parameter Mapping,,,https://goo.gl/yrIqwM,,,,,,The Pirate Cinema
New York Metro System (MTA),Alexander Chen,2011,Transportation,Art,Public,,Website,,Yes,Yes,Model Sonification,,,http://mta.me/,,Sonification is an interactive webpage,http://mta.me/,,https://www.chenalexander.com/Bio,New York Metro System (MTA)
Years,Bartholomäus Traubeck,2011,Environment,Art,,,,,,,Audification,,,https://vimeo.com/30501143,,,,,,Years
"U.S. Home Prices, Sung As Opera","Jacob Goldstein and David Kestenbaum, Planet Money/NPR",2011,Real Estate,Data Journalism,,,,,,,Parameter Mapping,,,https://www.npr.org/sections/money/2011/04/27/135737940/the-case-shiller-index-sung-as-opera,,,,,,U.S. Home Prices Sung As Opera
Stadsmuziek/ Citymusic,Akko Goldenbeld,2011,Urban studies,Art,,,,,,,Parameter Mapping,,n,https://youtu.be/XdE_L-cOwM0,https://goo.gl/6m9wiF,,,,,Stadsmuziek-Citymusic
Rhythms of the City,Varvara Guljajeva and Mar Canet Sola,2011,Social Media,Art,,,,,,,Parameter Mapping,,n,https://goo.gl/vQSIVi,https://goo.gl/ovOKGK,,,,,Rhythms of the City
Twittersynth/ Twinthesis,Sam Harman,2011,Social Media,Data Analysis,,,,,,,Parameter Mapping,,n,https://goo.gl/djBeQo,https://goo.gl/DG2eYi,,,,,Twittersynth - Twinthesis
